iter	Passed	Remaining
402	11636	219366
403	11665	219330
404	11693	219286
405	11722	219264
406	11752	219251
407	11781	219236
408	11811	219219
409	11838	219150
410	11865	219102
411	11895	219079
412	11925	219078
413	11955	219076
414	11985	219054
415	12015	219054
416	12045	219049
417	12072	218982
418	12100	218943
419	12129	218916
420	12160	218917
421	12189	218895
422	12217	218837
423	12245	218801
424	12274	218778
425	12302	218733
426	12330	218687
427	12360	218669
428	12388	218638
429	12415	218576
430	12442	218516
431	12471	218480
432	12501	218468
433	12531	218455
434	12557	218391
435	12589	218417
436	12617	218366
437	12646	218338
438	12676	218338
439	12709	218364
440	12741	218392
441	12772	218412
442	12803	218410
443	12831	218369
444	12860	218332
445	12889	218316
446	12919	218296
447	12947	218264
448	12977	218253
449	13009	218262
450	13040	218271
451	13068	218231
452	13097	218200
453	13124	218137
454	13154	218141
455	13183	218098
456	13212	218080
457	13241	218044
458	13272	218057
459	13300	218004
460	13328	217961
461	13356	217931
462	13388	217942
463	13418	217939
464	13445	217872
465	13473	217836
466	13501	217780
467	13530	217755
468	13559	217725
469	13589	217721
470	13620	217722
471	13650	217716
472	13679	217686
473	13707	217641
474	13735	217591
475	13764	217569
476	13796	217592
477	13829	217621
478	13858	217596
479	13887	217574
480	13917	217557
481	13946	217529
482	13976	217515
483	14004	217467
484	14033	217444
485	14062	217421
486	14091	217387
487	14120	217360
488	14147	217304
489	14176	217276
490	14207	217272
491	14236	217254
492	14266	217236
493	14296	217225
494	14325	217200
495	14353	217159
496	14383	217140
497	14412	217113
498	14441	217093
499	14472	217080
500	14501	217059
501	14530	217038
502	14558	216990
503	14590	217003
504	14618	216954
505	14647	216938
506	14675	216884
507	14704	216858
508	14733	216832
509	14762	216811
510	14795	216830
511	14825	216815
512	14852	216764
513	14883	216764
514	14913	216751
515	14944	216749
516	14974	216734
517	15004	216720
518	15032	216675
519	15062	216673
520	15092	216648
521	15121	216623
522	15151	216604
523	15181	216590
524	15208	216533
525	15236	216500
526	15268	216508
527	15298	216499
528	15327	216467
529	15356	216441
530	15386	216420
531	15414	216377
532	15445	216376
533	15474	216350
534	15501	216302
535	15528	216246
536	15560	216253
537	15591	216258
538	15622	216256
539	15650	216206
540	15680	216193
541	15711	216197
542	15743	216210
543	15773	216185
544	15803	216180
545	15834	216175
546	15865	216176
547	15899	216211
548	15938	216317
549	15975	216396
550	16010	216452
551	16045	216500
552	16077	216515
553	16110	216535
554	16144	216570
555	16178	216610
556	16215	216685
557	16246	216672
558	16280	216707
559	16309	216687
560	16338	216658
561	16368	216632
562	16398	216614
563	16429	216616
564	16460	216611
565	16492	216612
566	16524	216623
567	16552	216579
568	16583	216581
569	16612	216540
570	16646	216578
571	16678	216582
572	16715	216657
573	16751	216721
574	16789	216805
575	16824	216843
576	16858	216879
577	16892	216918
578	16925	216939
579	16956	216928
580	16988	216933
581	17018	216913
582	17048	216898
583	17080	216899
584	17111	216888
585	17140	216858
586	17171	216852
587	17199	216804
588	17230	216801
589	17260	216784
590	17288	216730
591	17317	216706
592	17347	216688
593	17379	216692
594	17407	216645
595	17437	216621
596	17466	216587
597	17494	216545
598	17525	216543
599	17558	216553
600	17589	216551
601	17619	216529
602	17650	216524
603	17682	216528
604	17712	216499
605	17740	216459
606	17772	216456
607	17802	216441
608	17834	216439
609	17861	216393
610	17893	216395
611	17925	216392
612	17956	216383
613	17985	216349
614	18014	216320
615	18042	216272
616	18073	216268
617	18105	216264
618	18135	216248
619	18166	216243
620	18198	216237
621	18227	216204
622	18256	216182
623	18288	216176
624	18320	216182
625	18350	216156
626	18378	216121
627	18407	216082
628	18435	216043
629	18466	216024
630	18501	216060
631	18532	216052
632	18563	216044
633	18594	216035
634	18626	216043
635	18659	216052
636	18688	216013
637	18718	215993
638	18745	215944
639	18775	215917
640	18803	215872
641	18833	215855
642	18861	215806
643	18892	215794
644	18919	215745
645	18948	215706
646	18980	215705
647	19010	215689
648	19037	215627
649	19065	215591
650	19098	215600
651	19127	215565
652	19156	215536
653	19185	215499
654	19218	215514
655	19245	215461
656	19274	215426
657	19307	215430
658	19338	215427
659	19369	215408
660	19397	215368
661	19428	215360
662	19458	215333
663	19486	215288
664	19517	215280
665	19546	215245
666	19577	215230
667	19607	215209
668	19637	215188
669	19665	215147
670	19697	215144
671	19725	215102
672	19759	215123
673	19788	215086
674	19818	215064
675	19847	215030
676	19875	214986
677	19906	214976
678	19934	214935
679	19965	214924
680	19997	214916
681	20026	214885
682	20058	214885
683	20088	214868
684	20116	214825
685	20146	214793
686	20178	214798
687	20211	214805
688	20243	214803
689	20272	214767
690	20301	214733
691	20330	214702
692	20359	214670
693	20387	214631
694	20418	214616
695	20449	214600
696	20479	214580
697	20510	214569
698	20540	214548
699	20571	214526
700	20602	214514
701	20630	214477
702	20660	214447
703	20688	214411
704	20719	214392
705	20749	214376
706	20780	214359
707	20811	214351
708	20842	214331
709	20873	214325
710	20903	214297
711	20934	214282
712	20963	214252
713	20992	214220
714	21024	214215
715	21052	214175
716	21082	214148
717	21113	214133
718	21143	214107
719	21170	214059
720	21201	214043
721	21229	213999
722	21259	213976
723	21289	213954
724	21320	213942
725	21353	213943
726	21381	213901
727	21414	213913
728	21445	213895
729	21474	213857
730	21502	213821
731	21534	213813
732	21563	213781
733	21592	213748
734	21621	213717
735	21651	213691
736	21682	213674
737	21711	213641
738	21740	213607
739	21771	213595
740	21802	213585
741	21833	213567
742	21861	213529
743	21890	213490
744	21921	213474
745	21950	213443
746	21981	213432
747	22011	213406
748	22041	213379
749	22072	213365
750	22100	213323
751	22129	213292
752	22161	213289
753	22189	213245
754	22221	213236
755	22249	213190
756	22277	213154
757	22308	213140
758	22338	213110
759	22366	213066
760	22394	213026
761	22425	213011
762	22455	212992
763	22485	212967
764	22515	212936
765	22546	212925
766	22574	212886
767	22605	212867
768	22635	212846
769	22665	212821
770	22695	212799
771	22724	212767
772	22756	212752
773	22788	212750
774	22818	212730
775	22850	212721
776	22880	212696
777	22911	212680
778	22939	212640
779	22967	212600
780	22999	212587
781	23031	212581
782	23059	212537
783	23087	212501
784	23117	212475
785	23147	212453
786	23179	212443
787	23211	212434
788	23239	212394
789	23268	212365
790	23297	212328
791	23327	212302
792	23358	212284
