iter	RMSE
0	0.1080412871
1	0.1072597554
2	0.1064936747
3	0.1057355022
4	0.1049787998
5	0.1042290706
6	0.1034845333
7	0.1027470384
8	0.1020201991
9	0.1013021238
10	0.1005797988
11	0.09987472507
12	0.09917914678
13	0.09847176081
14	0.09777375778
15	0.09708638858
16	0.09640337833
17	0.0957297677
18	0.09506505523
19	0.09440207106
20	0.09374930698
21	0.09309060923
22	0.09242820439
23	0.0917847405
24	0.09114494421
25	0.09052499677
26	0.08989931419
27	0.08927347607
28	0.08864730298
29	0.08802842818
30	0.08742794995
31	0.08683431107
32	0.086234717
33	0.08563670661
34	0.08505897848
35	0.08447887797
36	0.08389889607
37	0.08333922844
38	0.08277028054
39	0.08221030588
40	0.08165780667
41	0.0811032284
42	0.08056980247
43	0.08002508753
44	0.07948461557
45	0.07895730733
46	0.07844429793
47	0.07793171569
48	0.07742125797
49	0.07690039115
50	0.07639160973
51	0.07588396741
52	0.07539402315
53	0.07488406586
54	0.07438644729
55	0.07389905675
56	0.07341968212
57	0.07294263037
58	0.07246981845
59	0.07199835828
60	0.07152560921
61	0.0710550769
62	0.07059434394
63	0.07013492946
64	0.06970175839
65	0.06925260277
66	0.06880728697
67	0.0683636484
68	0.06792389364
69	0.06749549046
70	0.06707011881
71	0.06665136894
72	0.06622604752
73	0.06581280867
74	0.06539966129
75	0.06498689267
76	0.06457620043
77	0.06417862718
78	0.0637722753
79	0.06338378576
80	0.06299770933
81	0.06260781121
82	0.06223004889
83	0.06184911988
84	0.06146977808
85	0.06110006731
86	0.06073232901
87	0.06036866155
88	0.05999929182
89	0.05963144456
90	0.05928009029
91	0.0589243111
92	0.05857161634
93	0.05823412081
94	0.05789289161
95	0.05755037857
96	0.0572067414
97	0.05687868084
98	0.05654795308
99	0.05621569831
100	0.05589315888
101	0.05556653684
102	0.05524758802
103	0.05492713072
104	0.05462097908
105	0.05431073462
106	0.05400424807
107	0.05369094886
108	0.05338562961
109	0.05308331666
110	0.05278287139
111	0.05248554619
112	0.05218888416
113	0.05190054323
114	0.05161404818
115	0.05133058623
116	0.05105153325
117	0.05077222539
118	0.05050178845
119	0.05022836345
120	0.04995732745
121	0.04968971738
122	0.04941771364
123	0.04915717563
124	0.04889809119
125	0.048635416
126	0.04838231265
127	0.04812546587
128	0.04786883644
129	0.04761989061
130	0.04737659361
131	0.04713459718
132	0.04689070302
133	0.04664772358
134	0.04640951198
135	0.04617933639
136	0.04594243937
137	0.04571308682
138	0.04548359251
139	0.04526596904
140	0.04503857651
141	0.04481350046
142	0.04459427409
143	0.04436986905
144	0.04415246695
145	0.04393740064
146	0.04372516751
147	0.04351056106
148	0.04329996096
149	0.04309557603
150	0.04289690088
151	0.04269765361
152	0.04249414847
153	0.04229269226
154	0.04209293871
155	0.04189547745
156	0.04169805166
157	0.04150392136
158	0.04131661366
159	0.04112759317
160	0.04094677846
161	0.0407688357
162	0.04058709405
163	0.04040608944
164	0.04023029582
165	0.04005314771
166	0.03988333969
167	0.03971548298
168	0.03954450527
169	0.03937372203
170	0.03920857183
171	0.0390413686
172	0.03887199973
173	0.03871048851
174	0.03855392749
175	0.03839227777
176	0.03823153461
177	0.03807765462
178	0.03792741254
179	0.03777074001
180	0.03762165747
181	0.03747480886
182	0.03733133747
183	0.03718847607
184	0.03704836543
185	0.03690161131
186	0.03676221367
187	0.03662883102
188	0.03649653142
189	0.03635518704
190	0.03622287636
191	0.03608572808
192	0.03594843661
193	0.03582264127
194	0.03568877455
195	0.03555911324
196	0.03543022911
197	0.0353061781
198	0.03518011645
199	0.03505753454
200	0.03493983346
201	0.03481738032
202	0.03469789737
203	0.03458101534
204	0.03446125283
205	0.03434933995
206	0.03423131969
207	0.03412513542
208	0.03400909089
209	0.0338999748
210	0.03379102457
211	0.03368302611
212	0.03357309912
213	0.03346431421
214	0.03335542619
215	0.03325278278
216	0.03314417218
217	0.03304653764
218	0.03294621032
219	0.0328460592
220	0.03274721035
221	0.03264725106
222	0.03255337555
223	0.03245903436
224	0.03236202724
225	0.03226928197
226	0.03217938954
227	0.03208703681
228	0.03200046869
229	0.03190978101
230	0.03181806847
231	0.03173101314
232	0.03164424014
233	0.03156310577
234	0.03148035169
235	0.03139944911
236	0.03131668524
237	0.03123273395
238	0.03115384369
239	0.03107602153
240	0.03099608938
241	0.03091611189
242	0.03083880808
243	0.03075874148
244	0.03068155763
245	0.03060611504
246	0.03053392952
247	0.03046411124
248	0.03038900699
249	0.03031516095
250	0.03024281676
251	0.03017131099
252	0.0301031017
253	0.03003468067
254	0.02996402953
255	0.02989394476
256	0.02982707559
257	0.02976033323
258	0.02969415727
259	0.02963168856
260	0.02957255626
261	0.02951056653
262	0.02945117353
263	0.02938881948
264	0.02932954985
265	0.02927456898
266	0.02921590594
267	0.02915558773
268	0.02909382879
269	0.02903655185
270	0.02897785023
271	0.02892482298
272	0.02886892277
273	0.02881163713
274	0.02875571063
275	0.02870132887
276	0.02864689101
277	0.02859670817
278	0.02854451564
279	0.0284913083
280	0.02843968082
281	0.02839078507
282	0.0283469525
283	0.02829706704
284	0.02824944146
285	0.02820064301
286	0.02814957656
287	0.02810151185
288	0.02805505355
289	0.02801124064
290	0.02796436274
291	0.02792109304
292	0.02787333675
293	0.02783052502
294	0.02778638727
295	0.02774466943
296	0.02770391109
297	0.0276650296
298	0.02762230976
299	0.02758020372
300	0.02754383806
301	0.02750437554
302	0.02746390556
303	0.0274260795
304	0.02738793801
305	0.02735077807
306	0.02731716614
307	0.02727871174
308	0.02724050073
309	0.02720545093
310	0.02716916772
311	0.02713181775
312	0.02709486856
313	0.02706067827
314	0.02702684363
315	0.02699111515
316	0.02696121459
317	0.02693222194
318	0.026897548
319	0.02686307761
320	0.02683160712
321	0.02679962685
322	0.02676642045
323	0.0267370472
324	0.02670612079
325	0.02667435861
326	0.02664696521
327	0.02661443146
328	0.02658367711
329	0.02655417389
330	0.0265269613
331	0.02649660462
332	0.02646831991
333	0.02643901201
334	0.0264112018
335	0.02638531586
336	0.02635831217
337	0.02633181491
338	0.02630389795
339	0.02627681787
340	0.02625295324
341	0.02622699918
342	0.02620125839
343	0.02617714408
344	0.02614995591
345	0.0261253734
346	0.0261008448
347	0.02607823279
348	0.02605364862
349	0.02602857797
350	0.02600793424
351	0.02598483606
352	0.02596190715
353	0.0259401405
354	0.02591688748
355	0.0258960964
356	0.02587402637
357	0.02585492639
358	0.02583468283
359	0.02581191731
360	0.02579030436
361	0.02577015164
362	0.0257489755
363	0.02572899533
364	0.02571189955
365	0.02569235642
366	0.02567067874
367	0.02565096624
368	0.02563311721
369	0.02561376035
370	0.02559473004
371	0.0255743851
372	0.02555508123
373	0.02553757772
374	0.02551719077
375	0.02549977886
376	0.02548047222
377	0.02546390307
378	0.02544536073
379	0.0254269538
380	0.02541091467
381	0.02539421245
382	0.02537675193
383	0.02536286983
384	0.02534718419
385	0.02533024065
386	0.02531417068
387	0.02529687302
388	0.02528186273
389	0.02526443547
390	0.02525107718
391	0.02523766419
392	0.0252189232
393	0.0252023986
394	0.0251877886
395	0.02517281767
396	0.02515764349
397	0.02514400919
398	0.02512787717
399	0.02511180178
400	0.02509652173
401	0.02508021806
402	0.02506352796
403	0.02504834724
404	0.02503773041
405	0.0250243598
406	0.02501167355
407	0.02499897848
408	0.02498635903
409	0.02497214759
410	0.02496000145
411	0.02494896384
412	0.02493603755
413	0.0249248378
414	0.02491205258
415	0.02490161005
416	0.02488823718
417	0.0248767545
418	0.02486443198
419	0.02485251533
420	0.02484001829
421	0.02482853862
422	0.02481905218
423	0.02480812446
424	0.02479829896
425	0.02478677856
426	0.02477587198
427	0.02476623689
428	0.0247557732
429	0.02474511378
430	0.02473431951
431	0.02472365971
432	0.02471071159
433	0.02469887617
434	0.02468900891
435	0.02467627038
436	0.02466649976
437	0.02465796148
438	0.0246460331
439	0.02463439281
440	0.02462466033
441	0.02461615192
442	0.02460625339
443	0.02459522202
444	0.0245863505
445	0.02457695542
446	0.02456601206
447	0.02455527508
448	0.02454555128
449	0.02453620929
450	0.02452546308
451	0.02451757494
452	0.02450748974
453	0.0244997194
454	0.0244919608
455	0.02448177026
456	0.02447276862
457	0.02446494881
458	0.02445463725
459	0.0244456277
460	0.02443718266
461	0.02442715918
462	0.02441835369
463	0.02441097229
464	0.02440235848
465	0.02439488228
466	0.02438808102
467	0.02437789653
468	0.02436933415
469	0.02435936131
470	0.02435039093
471	0.02434175982
472	0.02433447285
473	0.02432555302
474	0.02431766632
475	0.02430834483
476	0.02430081662
